trial_id,goal_x,goal_y,lock_in_time_s
0,64.0,48.0,0.0004011119999915991
1,64.0,96.0,1.358473196999995
2,64.0,144.0,1.3591433480000035
3,64.0,192.0,1.3566937819999936
4,64.0,240.0,1.356939840999999
5,64.0,288.0,1.359682738999993
6,64.0,336.0,1.2927412610000033
7,64.0,384.0,1.3617501960000027
8,64.0,432.0,1.2916271290000054
9,128.0,48.0,1.2233400519999975
10,128.0,96.0,1.1627032979999967
11,128.0,144.0,1.1599116220000099
12,128.0,192.0,1.1608525959999838
13,128.0,240.0,1.2246997869999916
14,128.0,288.0,1.223638039000008
15,128.0,336.0,1.163725377999981
16,128.0,384.0,1.1588051989999997
17,128.0,432.0,1.1617463400000076
18,192.0,48.0,1.093030887999987
19,192.0,96.0,1.0886616920000165
20,192.0,144.0,1.025560998000003
21,192.0,192.0,1.0293324490000089
22,192.0,240.0,1.0303284919999953
23,192.0,288.0,0.9589661500000091
24,192.0,336.0,0.9606867230000091
25,192.0,384.0,1.0283912890000124
26,192.0,432.0,0.9599980770000229
27,256.0,48.0,1.0934310429999812
28,256.0,96.0,1.0917085419999921
29,256.0,144.0,0.9601626040000042
30,256.0,192.0,0.827945408000005
31,256.0,240.0,0.827777650999991
32,256.0,288.0,0.8301551999999788
33,256.0,336.0,0.761744292000003
34,256.0,384.0,0.7606396739999752
35,256.0,432.0,0.8963527919999876
36,320.0,48.0,1.0936900020000166
37,320.0,96.0,1.0959658360000049
38,320.0,144.0,0.957802479999998
39,320.0,192.0,0.892493743999978
40,320.0,240.0,0.8273438699999929
41,320.0,288.0,0.7641067460000102
42,320.0,336.0,0.6957001910000145
43,320.0,384.0,0.7604096100000106
44,320.0,432.0,0.896082650000011
45,384.0,48.0,1.1562648039999885
46,384.0,96.0,1.0920820430000049
47,384.0,144.0,0.9597454960000107
48,384.0,192.0,0.8281034919999968
49,384.0,240.0,0.8939851949999991
50,384.0,288.0,0.6951755800000115
51,384.0,336.0,0.694644009000001
52,384.0,384.0,0.7614400029999899
53,384.0,432.0,0.8948782920000156
54,448.0,48.0,1.0930469109999876
55,448.0,96.0,1.0927132759999836
56,448.0,144.0,0.9598536549999892
57,448.0,192.0,0.8278595209999935
58,448.0,240.0,0.8276456149999945
59,448.0,288.0,0.7609762409999803
60,448.0,336.0,0.7608010099999944
61,448.0,384.0,0.7602380810000113
62,448.0,432.0,0.8911237519999986
63,512.0,48.0,1.0913807320000046
64,512.0,96.0,1.0957955670000104
65,512.0,144.0,0.9596759599999984
66,512.0,192.0,0.8927976089999845
67,512.0,240.0,0.8955545120000181
68,512.0,288.0,0.9613167979999844
69,512.0,336.0,1.0886669619999907
70,512.0,384.0,0.9600958919999982
71,512.0,432.0,0.9608123560000195
72,576.0,48.0,1.0929266910000024
73,576.0,96.0,1.224251092000003
74,576.0,144.0,1.090173940999989
75,576.0,192.0,1.0924305810000021
76,576.0,240.0,1.1564986319999946
77,576.0,288.0,1.0924068840000132
78,576.0,336.0,1.0919222060000209
79,576.0,384.0,1.1602726320000158
80,576.0,432.0,1.093702991000015
